question,answer_format
מה השם הפרטי שלך?,השם הפרטי שלי הוא _____
מה שם המשפחה שלך?,שם המשפחה שלי הוא _____
מה השם של אביך?,השם של אבא שלי הוא _____
מה השם של אמך?,השם של אמא שלי הוא _____
מה השם של סבך מצד אמא?,השם של סבי מצד אמי הוא ______
מה השם של סבך מצד אבא?,השם של סבי מצד אבי הוא ______
מה השם של סבתך מצד אמא?,השם של סבתי מצד אמי הוא ______
מה השם של סבתך מצד אבא?,השם של סבתי מצד אבי הוא ______
מה השם של חברך הטוב ביותר?,השם של חברי הטוב ביותר הוא _____
מה שפת האם שלך?,שפת האם שלי הוא _____
מה המקצוע הלימוד שלך בתואר הראשון?,לתואר ראשון למדתי _____
מה מוסד הלימודים בו למדת תואר ראשון?,לתואר ראשון למדתי ב_____
מה השם של בית הספר היסודי בו למדת?,למדתי בבית הספר היסודי _____
מה השם של בית הספר התיכון בו למדת?,למדתי בבית הספר התיכון _____
מהי ארץ מולדתך?,ארץ מולדתי היא _____
מהו ישוב מולדתך?,ישוב מולדתי הוא _____
מה כתובת מגורים של הוריך?,כתובת מגורים של הוריי הוא _____
מהו מספרך האישי?,המספר האישי שלי הוא _____
מהו מספר תעודת זהות?,מספר תעודת זהות שלי הוא _____
מהו תאריך הולדתך?,תאריך הולדתי הוא _____
מה מספר הפלאפון שלך?,מספר הפלאפון שלי הוא ______
מה הוא שם משפחת של אמך לפני הנישואין?,שם המשפחה של אמי לפני הנישואין הוא _____
מה הוא שם חיית המחמד שלך?,שם חיית המחמד שלי הוא _____
באיזה חיל שירתת בצבא?,שירתתי בחיל ה____ בצבא
מה הוא המשקה האהוב עלייך?,המשקה האהוב עלי הוא ______
מה הוא המאכל האהוב עלייך?,המאכל האהוב עלי הוא ______
